,0
IFIT3,0.00053081603
GMPR,0.0005301557
SPOCD1,0.0005274311
EXOG,0.0005261381
PHLDA2,0.000524354
SLC22A18,0.000523811
LINC01305,0.00052085787
RP11-495P10.1,0.00052022294
FAM46A,0.00051626057
RP1-43E13.2,0.00051439553
FBXO32,0.0005135156
TMEM154,0.00050799194
PTH2R,0.000507431
CATSPER1,0.0005061214
GPR65,0.0005055994
C21orf58,0.00050475274
LINC01140,0.00050387566
CMTM6,0.00050231355
ECM1,0.0004979794
BEX2,0.0004976812
IGFBP4,0.0004940889
OLFM2,0.00049286796
LRP10,0.00049284875
CAV2,0.0004918523
INHBE,0.00049135234
HRC,0.00048858754
SYCE3,0.00048844627
OSR2,0.00048786562
RAB3D,0.0004843688
TMEM156,0.0004834135
CISH,0.0004813855
PRTN3,0.00047957184
ENPEP,0.00047879302
SYTL1,0.00047670765
MDGA1,0.0004759684
CKAP4,0.00047288492
HNRNPH1,0.000468862
ARHGAP30,0.00046556344
MLXIP,0.00046544409
CYTH4,0.00046067868
G6PD,0.00045790375
LINC00665,0.00045536735
AXL,0.0004550485
PRAM1,0.00045398925
EBI3,0.00045155734
RP4-671O14.7,0.00045049557
CKAP2,0.0004478967
CORO1A,0.00044706374
RP11-1399P15.1,0.0004446994
TAL2,0.00044380204
FAM101B,0.00044360285
LGI4,0.0004417893
RP11-162G10.5,0.00044103916
SLC7A11,0.00044098624
TBC1D10C,0.0004402706
APOE,0.00043947197
BATF3,0.00043832752
SMIM1,0.00043629739
RP11-138P22.1,0.00043621668
CMB9-22P13.1,0.00043619375
PODNL1,0.00043591586
CNN1,0.00043497546
IRF1,0.0004347637
TMEM191C,0.00043465637
GABRE,0.0004343174
CPEB1-AS1,0.00043392042
RPS3A,0.00043268153
RNASE6,0.00043050197
HLA-DPB1,0.00043013884
GRHL1,0.0004288432
SDCBP2-AS1,0.00042856653
FGD3,0.00042468362
IL32,0.00042448915
RNASEL,0.00042256518
PYGL,0.0004222476
TOR3A,0.0004184267
TMOD2,0.0004174103
C12orf56,0.00041641673
RP11-380L11.4,0.00041525107
RP11-315O6.1,0.00041518218
ASH2L,0.00041490735
DUSP13,0.00041483148
RP11-669N7.2,0.00041415286
RP11-756H6.1,0.00041265623
CASC9,0.00041223303
GDPGP1,0.00041171652
NCF2,0.00041071506
ST3GAL6,0.00040894558
SERPINB9,0.00040865116
IL2RG,0.00040764193
CITED1,0.00040760738
CD3G,0.00040745438
TP53INP2,0.00040663313
RP11-326I11.3,0.00040356786
RP5-1198O20.4,0.00040331532
EPB42,0.00040186098
SET,0.00039953706
RP11-394I13.2,0.00039520828
SCRG1,0.00039492844
LRRC75A,0.0003937601
RHOB,0.00039366234
HELZ2,0.00039285867
HCST,0.00039275805
STOM,0.0003925628
ADGRG5,0.00039003743
HOXB6,0.00038929563
RP11-338I21.1,0.00038793363
FOSL2,0.00038775743
RP11-346C20.3,0.0003873419
TMEM173,0.0003867708
GNAI2,0.00038645792
BTG2,0.00038619258
RP5-1065J22.8,0.00038612197
GLIPR1,0.0003856156
RP11-548P2.2,0.00038544714
TRANK1,0.00038533632
NCOA4,0.00037954253
CCDC183,0.00037791088
CD69,0.00037503222
HEPACAM2,0.00037472602
PAQR7,0.00037316885
RP5-882C2.2,0.0003730904
DNASE1,0.00037134314
CR1,0.00036953442
HDC,0.00036945185
SIRPB1,0.00036917866
TRGC2,0.0003689699
RUNX1T1,0.0003685889
TRIM5,0.00036721132
ANKRD44,0.00036700765
LINC00881,0.00036418968
DYNC1I1,0.0003623752
AC006273.4,0.00036107554
PTH2,0.00035638342
LMNA,0.00035570405
HES6,0.00035547395
VIL1,0.000352975
PHLDA3,0.0003518191
TIGD3,0.00035163047
EPB41L4A-AS2,0.00034954902
ASAH1,0.0003492257
CYP1A1,0.0003472012
SULT2A1,0.00034695203
ARIH2OS,0.0003463674
RP11-573D15.9,0.00034627493
CCDC191,0.00034537
CTD-2035E11.3,0.0003435862
ZBTB18,0.00034345352
RPL3L,0.00034238005
CD96,0.00034162335
RP11-583F2.2,0.0003410495
LOXL2,0.0003405265
THBS1,0.0003388077
BCL2L11,0.00033734064
PHB,0.0003370193
RP13-516M14.4,0.0003363502
HPN,0.00033612442
ZMIZ1-AS1,0.00033442018
GPR84,0.00033397507
FAIM2,0.00033383656
ADGRD1,0.00033230262
CPEB4,0.00032919768
SH2D3C,0.0003284872
SFRP5,0.00032802907
GAD1,0.0003268241
RP4-635E18.8,0.00032666908
TIMP2,0.00032606948
TPRA1,0.00032571648
RP11-367G6.3,0.00032354455
MIXL1,0.00032213193
TM7SF2,0.0003221242
SIGLEC10,0.0003200061
RAP2C-AS1,0.0003187896
ERBB3,0.00031663457
ARHGEF26,0.00031621443
RP11-49I11.1,0.00031348533
TUBB2B,0.00031332974
RP11-395B7.4,0.00031322206
FRMD4B,0.0003112715
ITGB7,0.0003110263
IL22RA2,0.0003084466
RP11-297P16.3,0.00030813992
PTK2B,0.0003075913
RGS16,0.00030687166
RP11-81A22.5,0.00030662515
