,Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes,factor,mapped_gene
26,prerank,p53 Pathway,-0.5107548344019688,-1.0798007239680734,0.390625,0.6701704545454545,1.0,18/66,10.38%,VAMP8;TGFB1;SLC3A2;BTG1;CCND3;S100A4;STOM;NINJ1;PPP1R15A;FUCA1;MKNK2;LDHB;PROCR;CEBPA;IFI30;CD82;RGS16;SOCS1,83,SAMD1
27,prerank,Hedgehog Signaling,-0.7192519705810994,-1.0703494887154814,0.46296296296296297,0.6518998579545454,1.0,1/9,2.00%,DPYSL2,83,SAMD1
28,prerank,Wnt-beta Catenin Signaling,-0.7006015484619859,-1.0658341418645472,0.45614035087719296,0.6234959893048129,1.0,2/8,9.54%,MYC;CTNNB1,83,SAMD1
29,prerank,Glycolysis,0.5173843902993102,1.064740762734397,0.4222222222222222,0.6015059796249815,1.0,11/40,7.24%,AURKA;HSPA5;LDHA;MDH2;STMN1;HMMR;DDIT4;SDC2;PKM;B4GALT1;ANGPTL4,83,SAMD1
30,prerank,heme Metabolism,-0.48259300518949194,-1.0572667500887765,0.3220338983050847,0.6104008838383838,1.0,19/55,8.92%,LMO2;ALAS2;MYL4;ICAM4;CCND3;CTSB;UCP2;GYPC;GYPE;PRDX2;NFE2;NCOA4;HAGH;LAMP2;LRP10;BCAM;CLCN3;YPEL5;C3,83,SAMD1
31,prerank,TGF-beta Signaling,-0.5933359828184214,-1.046379173072317,0.45098039215686275,0.6002541866028708,1.0,7/17,9.54%,ID1;TGFB1;ID3;PPP1R15A;CDKN1C;JUNB;CTNNB1,83,SAMD1
32,prerank,Pperoxisome,-0.6339418792318547,-1.0118833716447468,0.5370370370370371,0.6522727272727272,1.0,7/16,10.46%,SOD2;IDH2;FADS1;HSD17B4;PRDX5;MVP;ACSL1,83,SAMD1
33,prerank,Protein Secretion,0.5790802549219972,1.005342298795968,0.40476190476190477,0.6931381957773513,1.0,6/15,8.34%,ANP32E;CLN5;CLTA;CTSC;DST;KRT18,83,SAMD1
34,prerank,Adipogenesis,-0.5151831678633523,-1.0029270364465317,0.37735849056603776,0.6354166666666666,1.0,6/34,4.40%,APOE;UCP2;STOM;CDKN2C;CCNG2;UBC,83,SAMD1
35,prerank,Myc Targets V2,0.6437085043910364,0.9947626467650657,0.5531914893617021,0.6670825335892514,1.0,5/8,2.92%,WDR43;PHB;SRM;PLK1;NPM1,83,SAMD1
